"Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Accession"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Anopla","Heteronemertea","Cerebratulus_lacteus_(milky_ribbon-worm)","JF293044.1.1744"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Anopla","Heteronemertea",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Anopla","Palaeonemertea","Carinoma_tremaphoros","JF293049.1.1761"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Arachnida","Acari","Rhombognathus_levigatoides","HM070351.1.1723"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Ascidiacea","Enterogona","Clavelina_meridionalis","FM244840.1.1718"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Brachiopoda","Phoroniformea","Actinotrocha_harmeri","KC161254.1.1726"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Chromadorea","Chromadorida",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Chromadorea",NA,NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Chromadorea","Chromadorida","Chromadorina_sp._1257","FJ040470.1.1691"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Chromadorea","Chromadorida","Dichromadora_sp._1260","FJ040506.1.1695"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Chromadorea","Monhysterida","uncultured_eukaryote","JX457400.1.1529"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Chromadorea","Monhysterida","Theristus_acer","AJ966505.1.1748"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Chromadorea","Araeolaimida","Odontophora_sp._1273","FJ040459.1.1695"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Chromadorea","Chromadorida","Spilophorella_paradoxa","AY854211.1.1404"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Chromadorea","Chromadorida","Cyatholaimus_sp._BHMM-2005","AY854213.1.1404"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Chromadorea","Araeolaimida",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Chromadorea","Monhysterida","Monhysteridae_environmental_sample","GQ921337.1.1778"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Chromadorea","Chromadorida","Chromadorita_tentabundum","AY854208.1.1403"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Chromadorea","Desmodorida","Molgolaimus_demani","AY854220.1.1398"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Chromadorea","Tylenchida","Hirschmanniella_sp._Yuma","EF029857.1.1709"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copelata","Oikopleuridae","Oikopleura_sp.","AB013015.1.1692"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida","Harpacticus_sp._France_RJH_2007","EU380285.1.1786"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida","Porcellidium_ofunatense","KR048741.1.1691"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida","Amonardia_coreana","KT030261.1.1604"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida","Dactylopusia_pauciarticulata","KR048735.1.1672"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Calanoida","Pseudocalanus_sp._AC-2010","GU594644.1.1701"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida","uncultured_eukaryote","JX457410.1.1537"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida","Diosaccus_ezoensis","KR048740.1.1704"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Calanoida","Onychocamptus_bengalensis","JF326206.1.1694"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida","Sewellia_tropica","EU380299.1.1774"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida","Typhlamphiascus_typhlops","EU380292.1.1794"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida","Diarthrodes_sp._2_New_Caledonia-RJH-2007","EU380297.1.1807"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida","Harpacticus_nipponicus","KR048736.1.1710"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Calanoida","seawater_metagenome","FLMP01001350.4659.6453"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida","Ameira_scotti","EU380303.1.1790"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida","Tisbe_cf._tenera_CCUMP_44","JQ315751.1.1584"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida","Zaus_unisetosus","KR048737.1.1657"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda",NA,NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida","uncultured_eukaryote","KT201581.1.1766"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Harpacticoida","Euterpina_acutifrons","GU969212.1.1671"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Cyclopoida","uncultured_eukaryote","KJ763456.1.1798"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Cyclopoida","Cyclopina_gracilis","JF781537.1.1807"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Copepoda","Calanoida","Paracalanus_parvus","JX995313.1.1747"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Demospongiae","Clionaida",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Echinodermata","Holothuroidea","Leptosynapta_clarki","DQ777083.1.1776"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Enopla","Monostilifera",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Enopla","Monostilifera","Zygonemertes_virescens",NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Enoplia","Enoplida","Nematoda_environmental_sample","AY763141.1.1290"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Eumalacostraca","Peracarida","Jassa_falcata","DQ378017.1.2157"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Eumalacostraca","Peracarida","Uromunna_nana","KX467630.1.1930"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Eumalacostraca","Eucarida","Euphausia_eximia","DQ079748.1.1370"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Eumalacostraca","Peracarida","Leptochelia_itoi","AB618197.1.1818"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Gastropoda","Caenogastropoda",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Gastropoda","Heterobranchia",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Gastropoda","Vetigastropoda",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Gymnolaemata","Cheilostomatida","Membranipora_membranacea","FJ196121.1.1564"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Heteroconchia","Veneroida","Ameritella_versicolor","KX713267.1.1773"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Heteroconchia","Veneroida","Fulvia_mutica","D88911.1.1840"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Heteroconchia","Myoida","Mya_arenaria","AF120560.1.1783"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Heteroconchia","Veneroida","Saxidomus_purpuratus","EF426294.1.1829"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Heteroconchia","Veneroida",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Heteroconchia","Veneroida","Chione_elevata","KC429387.1.1779"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Heteroconchia","Veneroida","Tagelus_dombeii","AY553977.1.1739"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Heteroconchia","Myoida","Panopea_abrupta","AM774513.1.1770"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Heteroconchia","Myoida","Hiatella_arctica","AM774511.1.1774"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Heteroconchia","Veneroida","Discolucina_virginea","AM774497.1.1767"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Heteroconchia","Veneroida","Meropesta_nicobarica","AB714786.1.1791"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Hexacorallia","Actiniaria","Epiactis_lisbethae","KT852167.1.1727"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Hexacorallia","Actiniaria","Aiptasiogeton_hyalinus","KR704268.1.1584"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Hexacorallia","Actiniaria","Halcampoides_purpurea","AF254380.1.1732"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Hydroidolina","Leptothecata","Clytia_gracilis","DQ068051.1.1586"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Hydroidolina","Leptothecata","Clytia_gracilis","KX665433.1.1766"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Hydroidolina","Anthoathecata","Ectopleura_crocea","EU876559.1.1780"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Hydroidolina","Leptothecata","Obelia_longissima","KM603469.1.1843"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Hydroidolina","Anthoathecata","Sarsia_striata","GQ424338.1.1534"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Hydroidolina","Leptothecata",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Hydroidolina","Anthoathecata","Proboscidactyla_flavicirrata","EU305500.1.1705"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Hydroidolina","Leptothecata","Mitrocomella_polydiademata","KY363979.1.1707"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Monogononta","Ploimida","uncultured_metazoan","JN825699.1.1555"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Monogononta","Ploimida","Proales_reinhardti","DQ297718.1.1759"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Monogononta","Ploimida",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Palpata","Phyllodocida","Platynereis_australis","KT900290.1.1471"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Palpata","Eunicida",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Palpata","Phyllodocida","Nephtys_hombergii","GU179377.1.1752"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Palpata","Phyllodocida","Phyllodoce_groenlandica","AY996076.1.1761"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Palpata","Sabellida","Owenia_fusiformis","AB106255.1.1623"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Palpata","Phyllodocida","Exogone_fustifera","JF903600.1.1784"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Palpata","Eunicida","Schistomeringos_rudolphi","AF412804.1.1884"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Palpata","Phyllodocida","Eulalia_viridis","AY340428.1.1737"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Palpata","Phyllodocida","Glycinde_armigera","KT989339.1.1736"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Palpata","Phyllodocida","Ophiodromus_flexuosus","EU555039.1.1712"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Palpata","Sabellida","Serpula_vermicularis","AY732224.1.1808"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Palpata","Eunicida","Lumbrineris_funchalensis","AF412797.1.1747"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Palpata","Phyllodocida","Vrijenhoekia_falenothiras","JN571897.1.1747"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Palpata","Sabellida","Chone_sp._AM_E3574","EF116209.1.1803"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Palpata","Sabellida","Pseudochitinopoma_occidentalis","DQ242542.1.1774"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Palpata","Phyllodocida","Exogone_dispar","JF903599.1.1835"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Palpata","Phyllodocida","Eumida_bahusiensis","GU199014.1.1639"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Podocopa","Podocopida",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Podocopa","Podocopida","Xiphichilus_sp._SN003","AB076624.1.1809"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Podocopa","Podocopida","Aurila_disparata","AB076643.1.1814"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Podocopa","Podocopida","Schlerochilus_oshoroensis","AB076620.1.1812"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Podocopa","Podocopida","Paradoxostoma_setoense","AB076623.1.1810"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Polyplacophora","Neoloricata","Tonicella_lineata","AY377635.1.1770"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Pteriomorphia","Pectinoida","Monia_patelliformis","KC429342.1.1765"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Pteriomorphia","Mytiloida","Mytilus_edulis","AY527062.1.1823"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Pteriomorphia","Pectinoida",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Pteriomorphia","Mytiloida","Mytilus_edulis",NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Rhabditophora","Macrostomida","Microstomum_papillosum","FJ715296.1.1696"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Rhabditophora","Prolecithophora",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Rhabditophora","Macrostomida",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Rhabditophora","Macrostomida","Microstomum_sp._B_TJ-2015","KP730505.1.1676"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Rhabditophora","Polycladida","Paraplanocera_oligoglena","KT900263.1.1642"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Rhabdocoela","Neodalyellida","Astrotorhynchus_bifidus","AJ312270.1.1714"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Rhabdocoela","Kalyptorhynchia","Phonorhynchus_helgolandicus","AJ312274.1.1731"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Rhabdocoela","Kalyptorhynchia","Polycystis_ali","KJ887460.1.1772"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Rhabdocoela","Kalyptorhynchia","Odontorhynchus_aculeatus","KJ887440.1.1791"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Scolecida","Terebellida","Nicolea_zostericola","JN936469.1.1858"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Scolecida","Spionida","Mesochaetopterus_taylori","DQ209217.1.1774"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Scolecida","Capitellida","Ilyphagus_octobranchus","AY708530.1.1778"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Scolecida","Spionida","Aurospio_dibranchiata","EU340090.1.1629"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Scolecida","Terebellida",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Scolecida","Opheliidae","Armandia_brevis","KF511818.1.1748"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Scolecida","Terebellida","Polycirrus_sp._THS-2008","EU418858.1.1841"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Scolecida","Capitellida","Barantolla_lepte","AB106265.1.1672"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Scolecida","Spionida","Rhynchospio_glutaea","KJ546294.1.1753"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Scolecida","Orbiniidae","Leitoscoloplos_pugettensis","AY532365.1.1861"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Scolecida","Spionida",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Scolecida","Spionida","Spio_sp._2575","KT200137.1.1688"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Scolecida","Spionida","Cirratulus_sp._AMW24931","AB106262.1.1668"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Scolecida","Terebellida","Pectinaria_granulata","AY577890.1.1743"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Scolecida","Capitellida","Notomastus_tenuis","DQ790084.1.1815"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Scyphozoa","Semaeostomeae",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Scyphozoa","Stauromedusae",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Seriata","Proseriata",NA,NA
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Sipuncula","Phascolosomatiformes","Phascolosoma_agassizii","DQ299985.1.1756"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Tentaculata","Cydippida","Pleurobrachia_brunnea","KJ754154.1.1760"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)","Tentaculata","Cestida","Beroe_abyssicola","JN673817.1.1227"
"Eukaryota","Opisthokonta","Holozoa","Metazoa_(Animalia)",NA,NA,NA,NA
